DATE,CPALTT01CAM657N
2010-10-01,0.427715996578284
2010-11-01,0.0851788756388352
2010-12-01,0
2011-01-01,0.255319148936173
2011-02-01,0.254668930390495
2011-03-01,1.10076206604573
2011-04-01,0.335008375209355
2011-05-01,0.667779632721217
2011-06-01,-0.663349917081275
2011-07-01,0.16694490818031
2011-08-01,0.250000000000003
2011-09-01,0.249376558603494
2011-10-01,0.165837479270303
2011-11-01,0.0827814569536576
2011-12-01,-0.578990901571546
2012-01-01,0.415973377703839
2012-02-01,0.414250207125094
2012-03-01,0.412541254125403
2012-04-01,0.410846343467534
2012-05-01,-0.0818330605564587
2012-06-01,-0.4095004095004
2012-07-01,-0.082236842105257
2012-08-01,0.246913580246895
2012-09-01,0.164203612479484
2012-10-01,0.163934426229496
2012-11-01,-0.245499181669376
